project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
ValeevGroup/mpqc,9a85282cb8eb329b1043b3b00d877037070ff70e,2017-04-04T04:19:47Z,"{'src/mpqc/chemistry/qc/lcao/expression/orbital_index.h': 2, 'src/mpqc/chemistry/qc/lcao/factory/factory_utility.cpp': 50, 'src/mpqc/chemistry/qc/lcao/factory/factory_utility.h': 67}",119,1,{'cd810ecea0e12ae48c31885ac64e14e63c99d536'},{'src/mpqc/chemistry/qc/lcao/factory/factory_utility.h'},TRUE,
TRIQS/triqs,8f8c3390e5c12f2fb7b7c626efa004e10bace415,2017-08-28T15:37:29Z,"{'pytriqs/gf/gf.py': 9, 'test/pytriqs/base/CMakeLists.txt': 2, 'test/pytriqs/base/issue460.py': 18}",29,2,"{'6c20b3de8df8ed926a9415b98eef7e2c05e16c17', '66c0e7abb63a73b2bd4b3c25ac11bacfdcbd8d91'}","{'test/pytriqs/base/issue460.py', 'pytriqs/gf/gf.py'}",TRUE,
GQCG/GQCP,e28619b588d689266a499b2d9c764ca785b73a75,2020-03-11T14:24:38Z,"{'gqcp/include/ONVBasis/SeniorityZeroONVBasis.hpp': 6, 'gqcp/include/QCMethod/CI/CMakeLists.txt': 3, 'gqcp/include/QCMethod/CI/DOCINewtonOrbitalOptimizer.hpp': 100, 'gqcp/include/QCModel/CI/LinearExpansion.hpp': 5, 'gqcp/src/QCMethod/CI/CMakeLists.txt': 5, 'gqcp/src/QCMethod/CI/DOCINewtonOrbitalOptimizer.cpp': 150, 'gqcp/tests/QCMethod/CI/CMakeLists.txt': 2, 'gqcp/tests/QCMethod/CI/DOCINewtonOrbitalOptimizer_test.cpp': 208}",479,1,{'31da4854cc8ac0f3a156dda51d2e7d3a084bbab2'},{'gqcp/tests/QCMethod/CI/DOCINewtonOrbitalOptimizer_test.cpp'},TRUE,
shinmorino/sqaod,047b637475ae8623b5da4d65789b77eb35e54c8e,2018-02-12T13:59:55Z,"{'python/sqaod/cuda/src/Makefile': 47, 'python/sqaod/cuda/src/cuda_bg_annealer.cpp': 463, 'python/sqaod/cuda/src/cuda_bg_bf_solver.cpp': 298, 'python/sqaod/cuda/src/cuda_dg_annealer.cpp': 439, 'python/sqaod/cuda/src/cuda_dg_bf_solver.cpp': 273, 'python/sqaod/cuda/src/cuda_formulas.cpp': 487}",2007,3,"{'932d3ed38ad1b4f8ae7e648a22646cf00e1204cf', '2ed16ffa27ba05315b0444ae1587d715271fb648', '6740cd9ae77234d11d79b623946d6bc5bb39f8e2'}","{'sqaodpy/sqaod/cuda/src/cuda_dg_annealer.cpp', 'python/sqaod/cuda/src/Makefile', 'sqaodpy/sqaod/cuda/src/cuda_bg_bf_searcher.cpp'}",TRUE,
cp2k/cp2k,ef9580d9b1791c6d3de2b8a2c882349c18ac2ef9,2004-01-09T11:06:01Z,"{'src/qs_ot.F': 316, 'src/qs_ot_eigensolver.F': 2, 'src/qs_ot_scf.F': 68}",386,4,"{'bf6c42db36895563ce61194b49f0788dc21269e6', '4f8cdf1833c463172bb77a6c405b759c17fda2ab', '2d7289f1465033e4d344f3187797b2dc43ba3702', '6531efb824d50329c64d81267805a9cd64f6022e'}","{'src/qs_ot.F', 'src/qs_ot_scf.F'}",TRUE,
QMCPACK/qmcpack,585c4a51c76bc05deb1289959bb84fd9bc9819e1,2010-02-08T20:58:59Z,"{'CMakeLists.txt': 13, 'src/CMakeLists.txt': 1, 'src/HDFVersion.h': 70, 'src/Message/Communicate.h': 4, 'src/OhmmsApp/RandomNumberControl.cpp': 319, 'src/OhmmsPETE/Tensor.h': 2, 'src/OhmmsPETE/TinyVector.h': 2, 'src/Particle/HDFWalkerIOEngine.cpp': 98, 'src/Particle/HDFWalkerIOEngine.h': 16, 'src/Particle/HDFWalkerInput_0_4.cpp': 111, 'src/Particle/HDFWalkerOutput.cpp': 751, 'src/Particle/HDFWalkerOutput.h': 71, 'src/QMCDrivers/BranchIO.cpp': 167, 'src/QMCDrivers/DriftOperators.h': 1, 'src/QMCDrivers/ForwardWalking/HDF5_FW.h': 3, 'src/QMCDrivers/ForwardWalkingStructure.h': 263, 'src/QMCDrivers/QMCDriver.cpp': 44, 'src/QMCDrivers/SimpleFixedNodeBranch.cpp': 49, 'src/QMCDrivers/SimpleFixedNodeBranch.h': 23, 'src/QMCWaveFunctions/Fermion/RNDiracDeterminantBase.cpp': 3, 'src/QMCWaveFunctions/OrbitalBase.h': 2, 'src/QMCWaveFunctions/OrbitalSetTraits.h': 55, 'src/QMCWaveFunctions/OrbitalTraits.h': 171, 'src/QMCWaveFunctions/TrialWaveFunction.cpp': 2, 'src/SQD/HFConfiguration.h': 48, 'src/Utilities/PooledData.h': 1, 'src/io/hdf_archive.cpp': 4, 'src/io/hdf_archive.h': 1, 'src/io/hdf_hyperslab.h': 36, 'src/io/hdf_pete.h': 118, 'src/mpi/collectives.h': 16, 'src/type_traits/container_proxy.h': 10}",2475,16,"{'bc1f06ec4dcbb9ebc4c662e8cb18275808004be4', '01fba83a4af4dc2d7d1886886a0331d114cdf63b', 'b7afe0b0a127aa08e55bf03be2d20b7c50f876bf', '80e5a48f32b3b31edcb49ad7a14e089adbfb97c1', '3e8e031d0420b2b6ab7acaee17e893edb67b6563', '2493ac90a6b829639d6953a3f36b1bb96bd98bb1', '261a9f8ec49465502f6eae7e4d9810379c4913b6', '17f3f28cf8f101c0f056312a903b76c559adb82e', 'f380377b639f88aa6716794de46ac9f6ad6e9494', 'ba3dbae5c36832240996646a7c3a6bdf97e2ba7c', 'd2b11026294d2532030799c63daf13e8a162a0d3', 'bb59a1d57e49107b1a683148a476d05f7f3e29fd', '1ece7b77238a4c918dc9cc8b68bf12c689a5ff32', '3c9a4742c70dfe2f02921349ed2dd655e5170fdc', 'c16f19b2f279aa6ed479aa10426cc0dc4d446e26', 'a5428fbd2430199b1b9b330b8d4ed43bfeca1a54'}","{'src/QMCDrivers/BranchIO.cpp', 'src/Particle/HDFWalkerOutput.cpp', 'src/Particle/HDFWalkerOutput.h', 'src/QMCDrivers/QMCDriver.cpp', 'src/QMCDrivers/SimpleFixedNodeBranch.cpp', 'src/OhmmsApp/RandomNumberControl.cpp', 'src/Particle/HDFWalkerInput_0_4.cpp', 'src/HDFVersion.h'}",Unclear,
cp2k/cp2k,6faf8918bfee4663521f641a4a77cbdbae6b8b5a,2006-01-30T21:26:43Z,"{'src/OBJECTDEFS': 1, 'src/tbmd_energy.F': 29, 'src/tbmd_environment.F': 8, 'src/tbmd_environment_methods.F': 138, 'src/tbmd_environment_types.F': 65, 'src/tbmd_force.F': 29}",270,2,"{'9e9bede3d2817fd4365ee99eeb0a5596de8a0cb0', 'd4a619c163a44ab0b98d06c8bb98158c3ce5b84b'}",{'src/tbmd_environment_types.F'},TRUE,
pyscf/pyscf,4e113106130a7dc9130fc319ffa780fff5b336ef,2019-02-27T00:23:36Z,{'pyscf/pbc/cc/eom_kccsd_ghf.py': 140},140,2,"{'b278ceb77af8c24fe1dcf9bfb74eb347f22fd265', 'a7741c24bd0c9f6750515e2217b97b4afc9a71db'}",{'pyscf/pbc/cc/eom_kccsd_ghf.py'},TRUE,
ngnrsaa/qflex,209347ffb7517d73a7ef697fe3f0ad8d3dd23267,2019-06-02T14:12:22Z,"{'contraction_utils.h': 46, 'main_bristlecone_48x4.cpp': 40, 'main_bristlecone_70x4.cpp': 47, 'read_circuit.cpp': 110, 'read_circuit.h': 10, 'tests/read_circuit_test.cpp': 13}",266,3,"{'9bdeef826018cd16e1d6b25a489b1b68eb660ef1', 'e267faa815712f8d45456007f4751f4eeec82b54', 'a20151b6a387f1cf556492d70a5995a6a96c1fbb'}","{'read_circuit.cpp', 'main_bristlecone_48x4.cpp', 'tests/src/read_circuit_test.cpp', 'main_bristlecone_70x4.cpp'}",TRUE,
Qiskit/qiskit-aer,07e646ecf5cc723267bb2565a9d13bc4b0d259da,2019-07-30T19:00:57Z,"{'qiskit/providers/aer/backends/qasm_simulator.py': 27, 'src/base/controller.hpp': 30, 'src/framework/data.hpp': 12, 'src/noise/noise_model.hpp': 193, 'src/simulators/qasm/qasm_controller.hpp': 6, 'src/simulators/statevector/qubitvector.hpp': 8, 'src/transpile/truncate_qubits.hpp': 146, 'test/terra/backends/qasm_simulator/qasm_fusion.py': 50, 'test/terra/backends/qasm_simulator/qasm_truncate.py': 69, 'test/terra/noise/test_quantum_error.py': 4, 'test/terra/noise/test_readout_error.py': 12, 'test/terra/noise/test_standard_errors.py': 2}",559,5,"{'4994e0d62a0c5f094b23ee94e4282bf2606e1a9c', 'dc7a2413e6c373455c00cff51e37eaaa17a4a7ac', '5f27f23f6bd00bc9014921fb859a2f25f0268259', '05618488ba0e1c86f1b753a1451e8bfc93b55ff3', 'a387d1f7da2fcfe270e3a24f9d6d90101233b17a'}","{'src/controllers/controller.hpp', 'src/simulators/qasm/qasm_controller.hpp', 'test/terra/noise/test_quantum_error.py', 'src/noise/noise_model.hpp', 'src/base/controller.hpp', 'src/transpile/truncate_qubits.hpp'}",TRUE,
