project,Buginducing,Date,Modifiedfiles,LOC,TotalFixing,Bugfixing,FixingFiles,Tag,commitmessage
ValeevGroup/mpqc,681ed5affb6c07dbded61a8a7cc8e7585e79fb08,1996-05-17T17:14:06Z,"{'mpqc/src/lib/util/misc/Makefile': 13, 'mpqc/src/lib/util/misc/machtype.c': 17, 'mpqc/src/lib/util/misc/prober.c': 25, 'mpqc/src/lib/util/misc/regtime.cc': 487, 'mpqc/src/lib/util/misc/regtime.h': 49, 'mpqc/src/lib/util/misc/timer.h': 28, 'mpqc/src/lib/util/misc/timer.web': 433, 'mpqc/src/lib/util/misc/tregtime.cc': 49}",1101,4,"{'7062d82d215c92d68ad7770eb507862b10d3a6bc', '5908955ceaea95f057d519e5447eaf7ac2f80b22', '6e683a2b165a23adb133e4823bf9b23bba6e75e4', '10c4f2b692c5f5bc97297e2d2662725ca88a5e6e'}","{'src/lib/util/misc/tregtime.cc', 'mpqc/src/lib/util/misc/Makefile', 'mpqc/src/lib/util/misc/timer.h', 'mpqc/src/lib/util/misc/regtime.cc'}",TRUE,
m-labs/artiq,4c59c0fecf65eb5908e442e7c1842d222d0530e6,2016-12-12T09:49:07Z,"{'artiq/gateware/drtio/rt_controller.py': 41, 'artiq/gateware/drtio/rt_packets.py': 34}",75,1,{'ad2c9590d0dedc3da6bccd4d55ede00a291dd6b9'},{'artiq/gateware/drtio/rt_controller_master.py'},TRUE,
QuTech-Delft/qtt,5d3539aaca5cb93f928ca4331d58c1d8f876a87a,2016-09-14T16:32:42Z,{'examples/live_plotting.py': 196},196,1,{'63c391a076aceeace188a54eb0408a00b344a5ea'},{'qtt/live_plotting.py'},TRUE,
microsoft/qsharp-compiler,5d8490cdc2fb58d9801f7980362d62320807fd82,2019-10-19T18:41:40Z,"{'.gitignore': 1, 'src/QsCompiler/CommandLineTool/CommandLineTool.csproj': 2, 'src/QsCompiler/CompilationManager/CompilationUnit.cs': 10, 'src/QsCompiler/CompilationManager/CompilationUnitManager.cs': 11, 'src/QsCompiler/Core/Core.fsproj': 2, 'src/QsCompiler/Core/Dependencies.fs': 31, 'src/QsCompiler/Core/SymbolTable.fs': 79, 'src/QsCompiler/Core/SyntaxGenerator.fs': 11, 'src/QsCompiler/DataStructures/Diagnostics.fs': 14, 'src/QsCompiler/DataStructures/ReservedKeywords.fs': 7, 'src/QsCompiler/Tests.Compiler/AutoGenerationTests.fs': 2, 'src/QsCompiler/Tests.Compiler/CommandLineTests.fs': 58, 'src/QsCompiler/Tests.Compiler/GlobalVerificationTests.fs': 29, 'src/QsCompiler/Tests.Compiler/LinkingTests.fs': 136, 'src/QsCompiler/Tests.Compiler/LocalVerificationTests.fs': 2, 'src/QsCompiler/Tests.Compiler/OptimizationTests.fs': 32, 'src/QsCompiler/Tests.Compiler/SetupVerificationTests.fs': 33, 'src/QsCompiler/Tests.Compiler/TestCases/GlobalVerification.qs': 15, 'src/QsCompiler/Tests.Compiler/TestCases/LinkingTests/Core.qs': 16, 'src/QsCompiler/Tests.Compiler/TestCases/LinkingTests/EntryPointSpecializations.qs': 66, 'src/QsCompiler/Tests.Compiler/TestCases/LinkingTests/InvalidEntryPoints.qs': 215, 'src/QsCompiler/Tests.Compiler/TestCases/LinkingTests/ValidEntryPoints.qs': 129, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Arithmetic_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Arithmetic_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/FunctionEval_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/FunctionEval_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Inlining_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Inlining_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/LoopUnrolling_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/LoopUnrolling_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Miscellaneous_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Miscellaneous_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/NoOp_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/NoOp_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/PartialEval_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/PartialEval_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Reordering_input.qs': 0, 'src/QsCompiler/Tests.Compiler/TestCases/OptimizerTests/Reordering_output.txt': 0, 'src/QsCompiler/Tests.Compiler/TestCases/Transformation.qs': 4, 'src/QsCompiler/Tests.Compiler/TestCases/Types.qs': 3, 'src/QsCompiler/Tests.Compiler/TestFiles/test-01.qs': 9, 'src/QsCompiler/Tests.Compiler/TestFiles/test-02.qs': 8, 'src/QsCompiler/Tests.Compiler/Tests.Compiler.fsproj': 61, 'src/QsCompiler/Tests.Compiler/TransformationTests.fs': 3, 'src/QsCompiler/Tests.Compiler/TypeCheckingTests.fs': 2}",991,5,"{'deca80df6b451740154d31d57c493d6c66ec9514', '21e5daf01efbfe3cec6204e697bbb909e26fbf41', '6a951f5a5d208387f3db92fa973b05180feceadc', '0fe402c68f79b63c54e8419c63085b4971a25922', '3d9e9da3b33722437227f396cef79ece0a056334'}","{'src/QsCompiler/DataStructures/Diagnostics.fs', 'src/QsCompiler/Tests.Compiler/TypeCheckingTests.fs', 'src/QsCompiler/CompilationManager/CompilationUnit.cs', 'src/QsCompiler/Tests.Compiler/TestUtils/SetupVerificationTests.fs', 'src/QsCompiler/Tests.Compiler/LinkingTests.fs', 'src/QsCompiler/Tests.Compiler/AutoGenerationTests.fs', 'src/QsCompiler/Tests.Compiler/GlobalVerificationTests.fs'}",TRUE,
QMCPACK/qmcpack,9e812ba7f927c709fc82633e74ae59040106f48b,2017-05-21T18:22:36Z,"{'src/QMCHamiltonians/ForceBase.cpp': 4, 'src/QMCHamiltonians/ForceCeperley.cpp': 64, 'src/QMCHamiltonians/ForceChiesaPBCAA.cpp': 20}",88,1,{'b9428093ddc3dab9c073e71e8513beacf9c835bb'},{'src/QMCHamiltonians/ForceChiesaPBCAA.cpp'},TRUE,
evaleev/libint,3e54165ea4b00e8e8a3af0f587c830ff1f5f25f6,2005-04-25T14:31:15Z,"{'src/bin/libint/Makefile': 30, 'src/bin/libint/context.cc': 28, 'src/bin/libint/context.h': 26, 'src/bin/libint/dg.cc': 75, 'src/bin/libint/dg.h': 29, 'src/bin/libint/dgvertex.h': 2, 'src/bin/libint/entity.h': 3, 'src/bin/libint/exception.h': 8, 'src/bin/libint/hrr.h': 72, 'src/bin/libint/integral.h': 1, 'src/bin/libint/intset_to_ints.h': 5, 'src/bin/libint/oper.cc': 1, 'src/bin/libint/rr.cc': 25, 'src/bin/libint/rr.h': 7, 'src/bin/libint/strategy.cc': 2, 'src/bin/libint/tactic.cc': 7, 'src/bin/libint/tactic.h': 17, 'src/bin/libint/vrr_11_twoprep_11.h': 26}",364,7,"{'ab93799415219daa6190c51bb13980ce1950917e', '273831f84bfe8bc7e12c27fb2e6a5e3024eb355c', '850f6cb9fb2ae31e12c3f545c9b121591cc9ba01', 'cdc1949b15d87d9a57dca92041aefe043e2970e3', '605219f91d18e583f7c9033a13a8b9e3a85428e7', 'b80ceb1e558877ee053c9203ca9531fcb30eaa91', '8ee889b30ffcba8a3e03f96ba200d0c91e08145f'}","{'src/bin/libint/rr.cc', 'src/bin/libint/dg.cc', 'src/bin/libint/dg.h', 'src/bin/libint/tactic.h', 'src/bin/libint/hrr.h', 'src/bin/libint/context.h'}",TRUE,
BBN-Q/PyQLab,d8f14dac2025862bf21736dd301b4ba84e656012,2012-06-03T17:26:10Z,{'PulseSequencer/PatternGen.py': 7},7,1,{'5c9f1809e439137a90b6dc7612a545292c1ea615'},{'PulseSequencer/PatternGen.py'},TRUE,
supernomad/quantum,922606a47fcad53f720ffb2638c84f15c2fd8d67,2016-08-29T03:19:39Z,"{'backend/libkv.go': 5, 'common/config.go': 2, 'docker-compose.yml': 3}",10,2,"{'0c0ec0c097fb265deb4705931564b6051fc38bd1', 'c87242b08f33b18c469c4ce96311c35df0261eac'}",{'backend/libkv.go'},TRUE,
pyscf/pyscf,edf2c4627a8e13c6cf81f9563b249d4ced4ef006,2015-06-23T20:23:59Z,"{'future/lo/nao.py': 162, 'future/lo/orth.py': 7, 'future/lo/out_orth': 2, 'future/lo/param.py': 121, 'scf/hf.py': 34, 'scf/hf_symm.py': 2, 'scf/test/test_rhf.py': 2, 'scf/test/test_uhf.py': 2, 'scf/uhf.py': 48, 'scf/uhf_symm.py': 2}",382,4,"{'5ffb0ab7bfec3cc16d59c6832715d4afe8a1da16', 'cd3e0daa6e0a4fd572ffd6c2de2642e134c9365d', '3f96052070051b4f5a994b29d98f0a6451c65c44', '9cff4054e1f056c730800fd34470f6383c85c9bd'}","{'pyscf/scf/hf.py', 'scf/uhf_symm.py', 'pyscf/scf/uhf.py', 'future/lo/nao.py', 'scf/uhf.py', 'scf/hf.py'}",TRUE,
netket/netket,a6c2de6ff73d9ddaf4556e3304c6bf5fccfc3c2d,2018-07-08T00:45:47Z,"{'NetKet/Optimizer/ada_grad.hpp': 4, 'Test/CMakeLists.txt': 3, 'Test/Optimizer/optimizer_input_tests.hpp': 157, 'Test/Optimizer/unit-optimizers.cc': 426}",590,3,"{'44a8d50142b01380070a808531a2387f171c19fa', '6cc2bf7ee1f66f7c50f88ffaffd6b853f53d6994', 'ef67e039a8e5d7918ce2e61757435443e5826b89'}","{'NetKet/Optimizer/ada_grad.hpp', 'Test/Optimizer/optimizer_input_tests.hpp', 'Test/Optimizer/unit-optimizers.cc'}",TRUE,
votca/xtp,d18cc570e83321215fd2df3244367616ae247342,2013-05-27T19:29:41Z,"{'netbeans/libctp/nbproject/configurations.xml': 3, 'share/xml/eanalyze.xml': 7, 'share/xml/ecoulomb.xml': 4, 'share/xml/edft.xml': 10, 'share/xml/idft.xml': 11, 'share/xml/iimport.xml': 3, 'src/libctp/calculators/edft.h': 2}",40,1,{'c5b802efaa2165bc071a78e2a15d68ae344344b2'},"{'share/xml/edft.xml', 'share/xml/idft.xml'}",TRUE,
cp2k/cp2k,0e91b6120c09874bb75f14708af7aefbfe984119,2002-09-22T00:43:47Z,"{'src/constraint.F': 20, 'src/convert_units.F': 54, 'src/cp2k.F': 21, 'src/dump.F': 32, 'src/ewalds.F': 29, 'src/extended_system_types.F': 6, 'src/fist_debug.F': 40, 'src/fist_force.F': 83, 'src/force_control.F': 204, 'src/initialize_extended_types.F': 48, 'src/initialize_pimd_types.F': 36, 'src/integrator.F': 1957, 'src/md.F': 168, 'src/nhc.F': 144, 'src/structure_types.F': 137, 'src/transformations.F': 8}",2987,7,"{'021995595cc44317b5e40fad83d752c8f928c09d', '93cb5b160e3f52874767f370f9f6a2efd4b834d6', '152feb60fb3b381f1169c195049ed4274afa0510', '3a63dcdef7763d60cb2572486422a342aa0fab1e', 'b075cfc0fbb08bc3806e14e06ac2deb60b3a9335', 'f86ba5dcb67a27f0fc9b2e47a1a0da372a16c6d4', '7adde34cfcb4a6ad276ec5a58ffb9f54b83e8183'}","{'src/initialize_pimd_types.F', 'src/md.F', 'src/fist_debug.F', 'src/transformations.F', 'src/force_env_types.F', 'src/cp2k.F', 'src/dump.F', 'src/force_control.F', 'src/fist_force.F', 'src/integrator.F', 'src/extended_system_types.F'}",TRUE,
vm6502q/qrack,b22b7a2adb1ef9594dad95a1e040eef7dab4a6d9,2018-12-17T06:14:32Z,"{'CMakeLists.txt': 3, 'doxygen.config': 2, 'include/bitbuffer.hpp': 1, 'include/common/oclengine.hpp': 5, 'include/common/qrack_types.hpp': 4, 'include/hamiltonian.hpp': 64, 'include/qengine.hpp': 7, 'include/qengine_cpu.hpp': 6, 'include/qengine_opencl.hpp': 100, 'include/qfusion.hpp': 9, 'include/qinterface.hpp': 42, 'include/qunit.hpp': 17, 'include/qunitmulti.hpp': 8, 'src/common/oclengine.cpp': 5, 'src/common/qengine.cl': 516, 'src/common/qheader_double.cl': 2, 'src/common/qheader_float.cl': 2, 'src/qengine/opencl.cpp': 1247, 'src/qengine/qengine.cpp': 6, 'src/qengine/state.cpp': 38, 'src/qfusion.cpp': 14, 'src/qinterface/gates.cpp': 2, 'src/qinterface/operators.cpp': 16, 'src/qinterface/qinterface.cpp': 84, 'src/qinterface/rotational.cpp': 67, 'src/qunit.cpp': 61, 'src/qunitmulti.cpp': 5, 'test/benchmarks.cpp': 218, 'test/benchmarks_main.cpp': 202, 'test/test_main.cpp': 14, 'test/tests.cpp': 29, 'test/tests.hpp': 2}",2798,36,"{'3c555a34cb709098cfef5e6b872fd6baa375bf16', 'e0451f82941b102020bd64daff1a8f98fb5ea83f', '8ef65ead4bd2359138bfb807088dd5cb3ff3226d', 'e637c25b187a3cee97e8813e09fb0c0480ae6acf', '6ea040156ee1dad31fc5ac1e145dd4c55df22c11', 'f1fd99ca1d63bb94510018e18778e18c1a7537fb', '24b8c89eec9d55a36f6671d0def6f2af87cfd049', 'd08450ca5f18e30e1779fd3a567822847992a740', 'e0fd22c41d6c5a19c447467da031f8ee152f5aa8', '26f8e4d09aeef37f7525e4f788918346059227da', 'b0bfdec50b03581ea275a0fc4ce57caa91ca7665', '7643f753b56e26b285a00b0c79b3a0cbba34e82a', '47263b0245bf8640d8b4b7d4084e61a0cba583e8', '0479a630b1d7e36659b5d2fd05901a5f2c606e5d', 'de3beb57b87ad7d037f3a2159f91c952e7307cad', '3d263954e033441af70fd1861e975db641ee708d', 'eda1122f917d07cf62b3b669dfd21f9dcee97c44', '015026de9d6ea27900b037d2c60711731d9580e0', '448062aa77146f9006329040eaa27dde76ccbac7', '9f66ec6dc6e18b0130799a4a1ceec9f34fdc81c9', '7b4a783b9c75bcb5bffe0b583b442da73cd98664', 'bc894dbf089d485502afdc1b4db40bec0d5974d1', 'c1beee48533ae0f5d7ab3d6d0a1e70397f4aa8ff', '5703301fca2878c7302a8883c43ab6b39bab5806', '5b0bd1e9a66c3c900330cad70402eabc9f1ce948', '4fad86a62a9ef3f89cb4e59564fce06ef0261fb5', '051093eb112459bbccff16e35996faf521440637', 'fadccd5c7544314c379570e3092d2ff2cd1a8105', 'b47192e317cc0bb9591253bd7f4cdfcc14ab66b7', '7256924ea0ea497c02d0e0767d458d6d0b7d98d1', '27499496e6e426090553c953b111b74d4d27d0aa', '0d16fc51c090c03cb3d02a3871eddf684e1f1c87', 'e8ab30cdd8bb44a5b1ff612604df6798bc9c7859', '770b45573bfd0b49b72b15237a71165565d44eb5', '079feeca0e7044f1ab7e5f10507193b97264daf8', '0d4c8e3201e9b5ed13e93b27a8e341b0557155bb'}","{'include/qengine_cpu.hpp', 'src/qfusion.cpp', 'include/common/qrack_types.hpp', 'include/qunit.hpp', 'src/qinterface/rotational.cpp', 'include/qengine_opencl.hpp', 'src/qengine/opencl.cpp', 'src/qinterface/operators.cpp', 'src/common/qengine.cl', 'test/benchmarks_main.cpp', 'include/common/oclengine.hpp', 'include/qfusion.hpp', 'src/qunitmulti.cpp', 'src/qengine/qengine.cpp', 'src/qengine/state.cpp', 'test/test_main.cpp', 'test/benchmarks.cpp', 'test/tests.cpp', 'include/qunitmulti.hpp', 'test/tests.hpp', 'include/qengine.hpp', 'include/hamiltonian.hpp', 'src/qunit.cpp', 'src/qinterface/qinterface.cpp', 'include/qinterface.hpp', 'src/common/oclengine.cpp'}",TRUE,
QMCPACK/qmcpack,355c6afa314f62bed15cda8649a2dffd0e6aa0c9,2016-08-25T21:08:00Z,"{'nexus/library/bundle.py': 175, 'nexus/library/nexus.py': 4, 'nexus/library/project_manager.py': 4, 'nexus/library/simulation.py': 5}",188,1,{'6d574eff854d806312161691201d2391a3a36bdc'},"{'nexus/library/bundle.py', 'nexus/library/project_manager.py'}",TRUE,
pyscf/pyscf,67d7ef79d7fd089e86ad91aefc6cc42620be1c8c,2017-05-31T14:44:23Z,"{'pbc/dft/kuks.py': 5, 'pbc/scf/khf.py': 56, 'pbc/scf/kuhf.py': 11}",72,3,"{'ef3922fa5242821a048aeb209a87185b5f3b1774', '03861022e6ae5219a9a892ddece56aa9d2aba92e', '755262a15201c7246cebbaa5a3070411a5513bd2'}","{'pyscf/pbc/dft/kuks.py', 'pyscf/pbc/scf/khf.py'}",TRUE,
jcmgray/quimb,f71ecc95167419fb50e9c921a7b4af71808379ce,2018-01-10T16:43:01Z,"{'quimb/tensor/tensor_core.py': 11, 'tests/test_tensor/test_tensor_core.py': 20}",31,1,{'0f2ad7974b67e70b766c1c27f148266e1d481c3f'},{'tests/test_tensor/test_tensor_core.py'},TRUE,
ValeevGroup/mpqc,274903bf5455c5f3794ec3eb790583ab3d51cd66,2014-12-10T03:35:34Z,"{'basis/basis_set.h': 3, 'integrals/sparse_task_integrals.h': 54, 'integrals/ta_compute_functors.h': 14, 'integrals/task_integrals.h': 2, 'main.cpp': 117, 'purification/eigen_value_estimation.h': 130, 'purification/purification_devel.h': 30, 'purification/sqrt_inv.h': 142}",492,4,"{'2b0c14319a5bfa459ee88d31a7658068af748601', '6118c08b8e3152a99e564421f0b6a7423fd7a46d', 'c4609544467d4613f1abf3d090e5d6ea93a43f30', '6c9972043b59c6aed54cf51b27c03bdff7ac2c88'}","{'density/sqrt_inv.h', 'main.cpp', 'density/eigen_value_estimation.h', 'purification/purification_devel.h', 'purification/sqrt_inv.h'}",TRUE,
QMCPACK/qmcpack,5fdad1aa89822ec7ab5e7be79ba57c74be66d650,2007-03-29T21:25:58Z,"{'src/QMCWaveFunctions/Jastrow/JastrowBuilder.cpp': 10, 'src/QMCWaveFunctions/Jastrow/LRTwoBodyJastrow.cpp': 46, 'src/QMCWaveFunctions/Jastrow/LRTwoBodyJastrow.h': 2, 'src/QMCWaveFunctions/Jastrow/RPAConstraints.cpp': 18, 'src/QMCWaveFunctions/Jastrow/RPAConstraints.h': 3}",79,1,{'68041f782fc5a89591466167e4c3262fe618cf59'},{'src/QMCWaveFunctions/Jastrow/RPAConstraints.cpp'},TRUE,
QMCPACK/qmcpack,b2418df14d070a1b78391d3f1a7e34b9280d99e3,2019-06-30T18:23:01Z,"{'src/Message/OpenMP.h': 11, 'src/QMCWaveFunctions/Fermion/DelayedUpdate.h': 13, 'src/QMCWaveFunctions/Fermion/DiracMatrix.h': 2}",26,1,{'17c13ecea922abfdeacf7067529a525dd2805bce'},{'src/QMCWaveFunctions/Fermion/DiracMatrix.h'},TRUE,
qucat/qucat,b014144dcf75f729f59ba6fda4d8846781952464,2019-01-11T15:58:04Z,"{'core_net.py': 22, 'gui.py': 119, 'net_file_test.txt': 0}",141,4,"{'6b1f891ec1c458e138e6af995af11eae6c91cff6', '9297a229cf1288e6f9e1acb2389f21d90fa88dd0', '5ae545b0bd09427e03c3f8a37d5169a327709391', '13d01f30c5bb4a5bae73864b5250164fb8d383b4'}",{'gui.py'},TRUE,
MolSSI/QCEngine,92bab876e115825e13c57339583b3fab759cc6be,2020-02-05T14:46:18Z,"{'.travis.yml': 4, 'devtools/conda-envs/torchani.yaml': 2, 'qcengine/programs/openmm.py': 9, 'qcengine/programs/tests/test_programs.py': 2}",17,1,{'f03ff5dcd9b09c807db6e76a2a821ff6602d26bf'},{'devtools/conda-envs/torchani.yaml'},TRUE,
qutip/qutip,1ed7828010bc80a04efd2061045c7a6a031a255d,2016-02-20T22:19:04Z,{'qutip/qobj.py': 84},84,3,"{'c090327fb5d04e8580e7e33071613a620f94f2e7', '8a48a1a087ef74b9f3fe4a90e9621f5a424eafba', 'f0112ca662508e69441bf2e20e9474af76001a57'}",{'qutip/qobj.py'},TRUE,
QuTech-Delft/qtt,75e00799fe681042b075ed923a1f2dd5bdb71ec0,2017-03-09T14:48:00Z,"{'examples/example_simple.ipynb': 158, 'qtt/instrument_drivers/virtual_instruments.py': 53, 'qtt/loggingGUI.py': 2, 'qtt/qtt_toymodel.py': 34, 'qtt/scans.py': 14, 'qtt/tools.py': 11}",272,6,"{'777706c9ba5ea8c943807b5553c7e0b7589ea4a1', 'c09e6e129be7b0f207bef8a49c6cef8a792dc263', '824541992144eb827b929b2d9d3b802f6ddfc98d', '7023cec4151e5b7c3ab3e6d16a7a052739cba031', 'f1611a168977a105be6645c2f2bcfe83c9c6c1ad', '99dd31c9584d8af7346097f9979448c85aeaa456'}","{'src/qtt/instrument_drivers/virtual_instruments.py', 'docs/notebooks/measurements/example_simple.ipynb', 'qtt/measurements/scans.py', 'qtt/tools.py', 'qtt/scans.py', 'qtt/instrument_drivers/virtual_instruments.py', 'examples/example_simple.ipynb'}",FALSE,
BBN-Q/QGL,4262040fa8d49754bd9e24f38082f6a9c91654c2,2012-12-13T11:35:48Z,{'PatternUtils.py': 6},6,1,{'929cc7aed2b672fa3a234b20a402113623cf4d13'},{'PatternUtils.py'},TRUE,
cp2k/cp2k,97188ff71695f14ddf8ef4da65c7be3d14532738,2005-02-23T12:36:51Z,"{'src/dynamical_coeff_types.F': 3, 'src/initialize_extended_types.F': 3, 'src/input_constants.F': 14, 'src/input_cp2k.F': 960, 'src/nhc.F': 2, 'src/qmmm_init.F': 10}",992,4,"{'37f47319eb5bf850caf8271f3a43a3069d581346', '3a63dcdef7763d60cb2572486422a342aa0fab1e', 'ca4140ebd57a6579bed8c18220b7c30f32c07ea0', 'f97138bf4a6d40459b5ad5e6bfd23cf8b08fc5b0'}","{'src/input_constants.F', 'src/input_cp2k.F', 'src/qmmm_init.F'}",FALSE,
jcmgray/quimb,eedec2c3db634d450367bce2a4a0883a2d03cf5b,2018-07-16T16:14:27Z,"{'docs/examples/ex_tn_rand_uni_gate_graphs.ipynb': 2, 'quimb/linalg/approx_spectral.py': 81, 'quimb/tensor/tensor_core.py': 77}",160,2,"{'3098b46d34f6fbf4f41d79d44ebce901a32f94a1', '76133b56eef44bdf6dc5b29788c7e70905685699'}",{'quimb/tensor/tensor_core.py'},TRUE,
ValeevGroup/mpqc,7c4f39773e81984d5c920df725ee98034c03df35,2015-07-09T13:27:38Z,"{'cc/ccsd.h': 276, 'cc/two_electron_int_mo.h': 14, 'examples/ccsd.cpp': 33}",323,5,"{'29fd53df9df610973fd500e09655b43384f12297', '99719aa9bb49495a74dccea3d5e621606c5eb759', 'c1f7bf086f861ec2bfc0796ca9ca86808c55c1bc', '36be9127a901c739433a5df2451029df7db7eff6', '5745bdacac080ec9da6ad809c92f9fed59063698'}","{'cc/ccsd.h', 'examples/ccsd.cpp', 'src/mpqc/chemistry/qc/cc/ccsd.h', 'src/mpqc/chemistry/qc/lcao/cc/ccsd.h'}",FALSE,
arguelles/nuSQuIDS,814d4772df360101188b81b55f396ee81ace6c8d,2019-03-08T23:33:18Z,"{'include/nuSQuIDS/nuSQuIDS.h': 4, 'include/nuSQuIDS/taudecay.h': 35, 'src/nuSQuIDS.cpp': 107, 'src/taudecay.cpp': 84}",230,1,{'7e28735cdca685d8a2d72a89499e8c5b34bde95c'},{'src/taudecay.cpp'},TRUE,
quantumlib/Cirq,707fad273a9f9620c4fa4c8c52f112db1249cf05,2018-12-05T23:37:20Z,"{'cirq/protocols/decompose.py': 48, 'docs/gates.md': 65}",113,1,{'6271cb62ddfc0ba9121140a60cc7e1faf39da77e'},{'docs/gates.md'},TRUE,
ValeevGroup/mpqc,3af3242349d4ecbe7c9cd5351e2aaba1df4e4dfd,2014-09-21T20:04:49Z,"{'Matrix/tile_ops.h': 163, 'Matrix/tile_pimpl.h': 58, 'Matrix/tile_variant.h': 52}",273,2,"{'39a7e00ba4239eaa9984b1ee54bc389e721bd154', 'c5a95b66f308a38c6d2cf2cc992d5d2e68c31304'}",{'tensor/tile_pimpl.h'},TRUE,
dwavesystems/dimod,618c047f3a51f228ea8e394bbfe902ed45b82fee,2018-09-10T22:38:59Z,"{'fix-variables/include/compressed_matrix.hpp': 698, 'fix-variables/include/fix_variables.hpp': 35, 'fix-variables/src/fix_variables.cpp': 1268}",2001,1,{'f796feb756378556c89ec818612d45b2faac430e'},"{'dimod/roof_duality/src/fix_variables.hpp', 'dimod/roof_duality/src/fix_variables.cpp'}",TRUE,
XanaduAI/pennylane,c7ac33fa3996665a96cf2672d8482188211af097,2020-04-02T14:58:01Z,"{'.github/CHANGELOG.md': 6, 'pennylane/_qubit_device.py': 10, 'pennylane/plugins/default_qubit.py': 30, 'tests/conftest.py': 11, 'tests/test_default_qubit.py': 58}",115,1,{'544b20c756523ecaf70ab90fc2ca84ff4d0432f9'},"{'tests/conftest.py', 'pennylane/_qubit_device.py', 'pennylane/plugins/default_qubit.py', 'tests/test_default_qubit.py'}",TRUE,
ValeevGroup/mpqc,3b090bfa86b06c41e9fabc6add9aa83f3a8374d9,2015-01-22T21:39:07Z,"{'src/lib/chemistry/qc/mbptr12/extern_pt2r12.cc': 1, 'src/lib/chemistry/qc/mbptr12/molcas_pt2r12.cc': 14}",15,1,{'5eabbbdc4d92ed995f7c12d2f7c0e656844b0114'},{'src/lib/chemistry/qc/mbptr12/molcas_pt2r12.cc'},TRUE,
qutip/qutip,04a9483e1857f24786ef259e08e836ca0a3bd1ca,2014-06-25T07:18:24Z,"{'qutip/fortran/mcsolve_f90.py': 14, 'qutip/fortran/qutraj_run.f90': 2, 'qutip/fortran/qutraj_run.pyf': 4, 'qutip/solver.py': 2}",22,2,"{'5daf87c894e35c30a0624e52ac8f6b200285af0f', 'e1b09c5db0fe06b1bf5dffb31d2168c45a6dd4b9'}","{'qutip/fortran/qutraj_run.pyf', 'qutip/fortran/mcsolve_f90.py', 'qutip/fortran/qutraj_run.f90'}",TRUE,
dwavesystems/dwave-system,f324dc6b50bbe815ba3b10c350f74258cfebb70e,2018-03-05T21:29:05Z,"{'dwave/system/__init__.py': 12, 'tests/test_database_manager.py': 4, 'tests/test_embedding_composite.py': 13, 'tests/test_tiling_composite.py': 18, 'tests/test_virtual_graph_composite.py': 13}",60,1,{'39de30c7b22e544e74a59fdfdfbb2ac410ea4bf4'},{'tests/test_embedding_composite.py'},TRUE,
pyscf/pyscf,98351546bc52e357576bd429c9a4f1bc1198c4b6,2017-12-16T05:37:10Z,"{'pyscf/cc/addons.py': 2, 'pyscf/cc/ccsd_rdm.py': 1, 'pyscf/cc/gccsd.py': 39, 'pyscf/cc/gccsd_rdm.py': 287, 'pyscf/cc/gccsd_t.py': 2, 'pyscf/cc/uccsd.py': 6, 'pyscf/cc/uccsd_rdm.py': 591, 'pyscf/cc/uccsd_rdm_slow.py': 347, 'pyscf/mp/__init__.py': 4, 'pyscf/mp/gmp2.py': 6, 'pyscf/mp/mp2.py': 8, 'pyscf/mp/ump2.py': 15, 'pyscf/tddft/rhf.py': 10, 'pyscf/tddft/rks.py': 18}",1336,3,"{'1d7bd71d25cf3c1c687cc1b2fb62c224c3068153', '2585483959e5f74152af81c36058967d0ed93507', '8b4df6f6fc338ad909b276c62285fba16cb733c6'}","{'pyscf/tdscf/rks.py', 'pyscf/cc/uccsd_rdm.py', 'pyscf/tdscf/rhf.py', 'pyscf/cc/gccsd_rdm.py', 'pyscf/cc/gccsd.py'}",TRUE,
pyscf/pyscf,f13ecdceafdfff4c845b79c3350013d5083fa0ad,2015-01-12T19:32:10Z,{'scf/hf_symm.py': 4},4,1,{'0302bf1a67d5af62f22c3068d44bb4ad85c9304c'},{'scf/hf_symm.py'},TRUE,
