Category,ProjectId,snapshot,CLOC,addedLOC,removedLOC
Full-stack Library,microsoft/Quantum,0,34258,29129,5129
Full-stack Library,microsoft/Quantum,1,3932,3672,260
Full-stack Library,microsoft/Quantum,2,4204,3701,503
Full-stack Library,microsoft/Quantum,3,2257978,2238084,19894
Full-stack Library,microsoft/Quantum,4,10697,6621,4076
Full-stack Library,microsoft/Quantum,5,10319,5906,4413
Full-stack Library,microsoft/Quantum,6,15372,9524,5848
Full-stack Library,microsoft/Quantum,7,3622,2824,798
Full-stack Library,microsoft/Quantum,8,6263,4098,2165
Full-stack Library,microsoft/Quantum,9,8559,3892,4667
Full-stack Library,microsoft/QuantumLibraries,0,34258,29129,5129
Full-stack Library,microsoft/QuantumLibraries,1,3932,3672,260
Full-stack Library,microsoft/QuantumLibraries,2,4204,3701,503
Full-stack Library,microsoft/QuantumLibraries,3,43506,18693,24813
Full-stack Library,microsoft/QuantumLibraries,4,3823,2469,1354
Full-stack Library,microsoft/QuantumLibraries,5,33450,23204,10246
Full-stack Library,microsoft/QuantumLibraries,6,6376,3732,2644
Full-stack Library,microsoft/QuantumLibraries,7,19217,12131,7086
Full-stack Library,microsoft/QuantumLibraries,8,2157,1505,652
Full-stack Library,microsoft/QuantumLibraries,9,9843,7731,2112
Full-stack Library,microsoft/Quantum-NC,0,1343,1176,167
Full-stack Library,microsoft/Quantum-NC,1,1794,1570,224
Full-stack Library,microsoft/Quantum-NC,2,336,181,155
Full-stack Library,microsoft/Quantum-NC,3,466,278,188
Full-stack Library,microsoft/Quantum-NC,4,557,258,299
Full-stack Library,microsoft/Quantum-NC,5,730,439,291
Full-stack Library,microsoft/Quantum-NC,6,3310,3193,117
Full-stack Library,microsoft/Quantum-NC,7,3,3,0
Full-stack Library,microsoft/Quantum-NC,8,36,23,13
Full-stack Library,microsoft/Quantum-NC,9,0,0,0
Compiler,microsoft/qsharp-compiler,0,68531,59687,8844
Compiler,microsoft/qsharp-compiler,1,21324,13593,7731
Compiler,microsoft/qsharp-compiler,2,24204,15367,8837
Compiler,microsoft/qsharp-compiler,3,16302,9717,6585
Compiler,microsoft/qsharp-compiler,4,50298,41303,8995
Compiler,microsoft/qsharp-compiler,5,12,6,6
Compiler,microsoft/qsharp-compiler,6,85,50,35
Compiler,microsoft/qsharp-compiler,7,1023,550,473
Compiler,microsoft/qsharp-compiler,8,22,12,10
Compiler,microsoft/qsharp-compiler,9,502,274,228
Cryptography,theQRL/QRL,0,6163,4459,1704
Cryptography,theQRL/QRL,1,11244,7433,3811
Cryptography,theQRL/QRL,2,17250,9292,7958
Cryptography,theQRL/QRL,3,599012,305600,293412
Cryptography,theQRL/QRL,4,82317,44850,37467
Cryptography,theQRL/QRL,5,40571,23512,17059
Cryptography,theQRL/QRL,6,41417,26869,14548
Cryptography,theQRL/QRL,7,5833,4842,991
Cryptography,theQRL/QRL,8,942,685,257
Cryptography,theQRL/QRL,9,589,381,208
Full-stack Library,rigetti/pyquil,0,10855,9902,953
Full-stack Library,rigetti/pyquil,1,5904,3617,2287
Full-stack Library,rigetti/pyquil,2,2525,1522,1003
Full-stack Library,rigetti/pyquil,3,30781,21227,9554
Full-stack Library,rigetti/pyquil,4,12959,8885,4074
Full-stack Library,rigetti/pyquil,5,14097,6509,7588
Full-stack Library,rigetti/pyquil,6,16447,10882,5565
Full-stack Library,rigetti/pyquil,7,16897,11280,5617
Full-stack Library,rigetti/pyquil,8,11454,8864,2590
Full-stack Library,rigetti/pyquil,9,5079,2962,2117
Quantum-Chemistry,ValeevGroup/mpqc,0,415551,324326,91225
