Category,project,snapshot_id,FileId,total_debt,total_effort,bug_inducing,bug_fixing,inducing_loc,fixing_loc,total_loc,sonar_loc,is_inducing,is_debt,ERROR,CODE_SMELL,is_erroneous,is_smelly,MAJOR,CRITICAL,MINOR,BLOCKER,wcag2_a,pitfall,based_on_misra,es2015,clumsy,html5,user_experience,bad_practice,unused,cwe,python3,suspicious,finding,psr2,duplicate,obsolete,error_handling,lock_in,accessibility,brain_overload,convention,unpredictable,design,api_design,redundant,confusing
Assembly,lanl/qmasm,13,1,31,304,31,16,2666,254,14431,6557,1,1,3,28,1,1,6,3,1,0,0,0,0,0,0,0,0,0,2,0,15,3,0,0,0,0,1,0,0,4,3,0,0,0,0,0
Assembly,lanl/qmasm,13,3,13,65,9,3,91,11,168,302,1,1,0,13,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Assembly,lanl/qmasm,13,5,0,0,4,2,56,9,428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,6,0,0,8,2,64,12,272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,10,46,628,11,4,259,52,1231,8722,1,1,4,42,1,1,17,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Assembly,lanl/qmasm,13,28,347,4789,10,4,777,52,8171,260737,1,1,75,272,1,1,0,27,0,0,0,0,0,0,0,0,0,0,36,25,0,0,0,0,0,0,0,0,0,169,0,0,51,0,0,0
Assembly,lanl/qmasm,13,32,0,0,5,1,332,159,340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,416,79,1407,1,6,193,27,1220,18535,1,1,0,79,0,1,14,0,3,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
Assembly,lanl/qmasm,13,37,191,3445,21,20,1059,450,5289,103900,1,1,0,191,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,83,66,0,0,0,0,0
Assembly,lanl/qmasm,13,167,0,0,2,0,61,0,291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,169,60,330,2,3,122,9,1082,6856,1,1,0,60,0,1,2,0,8,0,0,0,0,0,0,0,0,0,10,0,16,4,0,0,0,0,0,0,0,10,20,0,0,0,0,0
Assembly,lanl/qmasm,13,42,143,1088,24,11,874,176,3557,57811,1,1,3,140,1,1,21,1,1,2,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,42,69,0,0,0,0,0
Assembly,lanl/qmasm,13,683,0,0,9,8,619,237,831,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,174,0,0,1,0,299,0,598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,175,0,0,1,0,72,0,454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,303,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assembly,lanl/qmasm,13,304,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
