Category,project,snapshot_id,FileId,total_debt,total_effort,bug_inducing,bug_fixing,inducing_loc,fixing_loc,total_loc,sonar_loc,is_inducing,is_debt,ERROR,CODE_SMELL,is_erroneous,is_smelly,MAJOR,CRITICAL,MINOR,BLOCKER,wcag2_a,pitfall,based_on_misra,es2015,clumsy,html5,user_experience,bad_practice,unused,cwe,python3,suspicious,finding,psr2,duplicate,obsolete,error_handling,lock_in,accessibility,brain_overload,convention,unpredictable,design,api_design,redundant,confusing
Cryptography,theQRL/QRL,13,2,309,2237,213,101,20153,2018,62084,260628,1,1,10,299,1,1,3,2,16,0,0,0,0,0,14,0,0,0,63,20,64,11,0,0,0,0,32,0,0,34,33,0,17,0,14,0
Cryptography,theQRL/QRL,13,3,299,1620,42,12,4884,315,13526,234051,1,1,11,288,1,1,1,0,2,0,0,0,0,0,0,0,0,0,58,24,29,6,0,0,0,0,3,0,0,9,122,0,0,0,31,9
Cryptography,theQRL/QRL,13,4,1029,3229,267,102,23596,3841,75417,628580,1,1,8,1021,1,1,80,0,1,0,0,0,0,0,89,0,0,0,76,2,50,49,0,0,0,0,39,0,0,52,507,0,34,0,125,1
Cryptography,theQRL/QRL,13,5,61,267,30,7,1323,50,1855,8333,1,1,2,59,1,1,3,0,2,0,0,0,0,0,1,0,0,0,2,4,3,3,0,0,0,0,7,0,0,1,25,0,3,0,10,0
Cryptography,theQRL/QRL,13,6149,1,5,3,1,68,31,130,22,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,6156,0,0,0,1,0,58,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,4111,3,15,3,1,23,2,40,9,1,1,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,2077,0,0,3,0,24,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,2078,0,0,7,2,2325,200,2446,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,6178,256,800,4,2,24,8,403,61205,1,1,36,220,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0
Cryptography,theQRL/QRL,13,38,122,697,45,22,740,211,2142,5661,1,1,0,122,0,1,7,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,43,61,0,3,0,10,0
Cryptography,theQRL/QRL,13,2086,0,0,7,3,17,9,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,4139,0,0,8,2,270,21,270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,4141,0,0,6,1,152,9,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,7085,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,2116,0,0,3,1,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptography,theQRL/QRL,13,2118,1,0,9,3,68,24,68,6,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
