Category,Project,Severity,Frequency,Total,Percentage
Simulator,OpenFermion-Cirq,Minor,6.985813723110483e-07,7.734562633109707e-05,0.903
Simulator,OpenFermion-Cirq,NBlocker,1.0152696556205328e-07,7.734562633109707e-05,0.131
Simulator,qmt,Critical,9.514027123799904e-07,8.597836910304519e-06,11.066
Simulator,qmt,Major,3.950733061155557e-06,8.597836910304519e-06,45.95
Simulator,qmt,Minor,3.5944043083761485e-06,8.597836910304519e-06,41.806
Simulator,qmt,NBlocker,1.0129682839282256e-07,8.597836910304519e-06,1.178
Simulator,dotBloch,Critical,0.0,0.0,0
Simulator,dotBloch,Major,0.0,0.0,0
Simulator,dotBloch,Minor,0.0,0.0,0
Simulator,dotBloch,NBlocker,0.0,0.0,0
Simulator,qiskit-jku-provider,Critical,6.1032653613449444e-05,9.466860424093903e-05,64.47
Simulator,qiskit-jku-provider,Major,3.363595062748959e-05,9.466860424093903e-05,35.53
Simulator,qiskit-jku-provider,Minor,0.0,9.466860424093903e-05,0.0
Simulator,qiskit-jku-provider,NBlocker,0.0,9.466860424093903e-05,0.0
Simulator,qflex,Critical,2.0140934618874565e-05,5.9746366272704285e-05,33.711
Simulator,qflex,Major,3.182499978713183e-05,5.9746366272704285e-05,53.267
Simulator,qflex,Minor,7.780431866697892e-06,5.9746366272704285e-05,13.022
Simulator,qflex,NBlocker,0.0,5.9746366272704285e-05,0.0
Simulator,QCViewer,Critical,0.0,0.00026785714285714287,0.0
Simulator,QCViewer,Major,0.00026785714285714287,0.00026785714285714287,100.0
Simulator,QCViewer,Minor,0.0,0.00026785714285714287,0.0
Simulator,QCViewer,NBlocker,0.0,0.00026785714285714287,0.0
Simulator,qvm,Critical,0.0,0.0,0
Simulator,qvm,Major,0.0,0.0,0
Simulator,qvm,Minor,0.0,0.0,0
Simulator,qvm,NBlocker,0.0,0.0,0
Simulator,quantum-mobile,Critical,0.00011974999196632283,0.00013863448911168952,86.378
Simulator,quantum-mobile,Major,0.0,0.00013863448911168952,0.0
Simulator,quantum-mobile,Minor,1.383399209486166e-05,0.00013863448911168952,9.979
Simulator,quantum-mobile,NBlocker,5.05050505050505e-06,0.00013863448911168952,3.643
Experimentation,QGL,Critical,2.481252340968651e-06,1.780439272657645e-05,13.936
Experimentation,QGL,Major,6.594921903181178e-06,1.780439272657645e-05,37.041
Experimentation,QGL,Minor,6.243771744674296e-06,1.780439272657645e-05,35.069
Experimentation,QGL,NBlocker,2.4844467377523214e-06,1.780439272657645e-05,13.954
Experimentation,artiq,Critical,4.6336542844479965e-06,2.5305075991593795e-05,18.311
Experimentation,artiq,Major,6.100880163670972e-06,2.5305075991593795e-05,24.109
Experimentation,artiq,Minor,1.3054933356717432e-05,2.5305075991593795e-05,51.59
Experimentation,artiq,NBlocker,1.5156081867573938e-06,2.5305075991593795e-05,5.989
Experimentation,quantum-shell,Critical,0.0,1.7513134851138353e-05,0.0
Experimentation,quantum-shell,Major,1.7513134851138353e-05,1.7513134851138353e-05,100.0
Experimentation,quantum-shell,Minor,0.0,1.7513134851138353e-05,0.0
Experimentation,quantum-shell,NBlocker,0.0,1.7513134851138353e-05,0.0
Experimentation,QuantumInformation.jl,Critical,0.0,0.0,0
Experimentation,QuantumInformation.jl,Major,0.0,0.0,0
Experimentation,QuantumInformation.jl,Minor,0.0,0.0,0
Experimentation,QuantumInformation.jl,NBlocker,0.0,0.0,0
Experimentation,qupulse,Critical,1.0591959035520288e-05,2.9357106597930163e-05,36.08
Experimentation,qupulse,Major,9.80041633825355e-06,2.9357106597930163e-05,33.383
Experimentation,qupulse,Minor,3.15867046258255e-06,2.9357106597930163e-05,10.759
Experimentation,qupulse,NBlocker,5.8060607615737755e-06,2.9357106597930163e-05,19.777
Experimentation,pyrpl,Critical,7.050574285736276e-07,4.387343044834658e-06,16.07
Experimentation,pyrpl,Major,3.020073137011799e-06,4.387343044834658e-06,68.836
Experimentation,pyrpl,Minor,4.605461194873664e-07,4.387343044834658e-06,10.497
Experimentation,pyrpl,NBlocker,2.0166635976186548e-07,4.387343044834658e-06,4.597
