Category,Project,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Web-Extension,CustomCSSforFx,630,3.7321983958094616,0.14896055000818464,0.598087934818253,36.654
Web-Extension,CustomCSSforFx,720,2.899325613262044,0.07415567317767807,0.40232371299672454,37.219
Web-Extension,CustomCSSforFx,810,0.0,0.0,0.0,37.219
Web-Extension,CustomCSSforFx,900,4.605834412369563,0.16680630664940208,0.5345154585237274,39.387
Web-Extension,CustomCSSforFx,990,4.777204679833941,0.16530381180022646,0.5018547472332077,39.745
Web-Extension,quantum,0,0.0,0.0,0.0,0.001
Web-Extension,quantum,90,0.0,0.0,0.0,0.001
Web-Extension,quantum,180,0.0,0.0,0.0,0.001
Web-Extension,quantum,270,0.0,0.0,0.0,0.001
Web-Extension,quantum,360,0.0,0.0,0.0,0.001
Web-Extension,quantum,450,0.0,0.0,0.0,0.001
Web-Extension,quantum,540,0.0,0.0,0.0,0.001
Web-Extension,quantum,630,0.0,0.0,0.0,0.001
Web-Extension,quantum,720,0.0,0.0,0.0,0.001
Web-Extension,quantum,810,0.0,0.0,0.0,0.001
Web-Extension,quantum,900,0.0,0.0,0.0,0.001
Web-Extension,firefox-nativedark,0,0.0,0.0,0.0,0.001
Web-Extension,firefox-nativedark,90,1.1811023622047243,0.0,1.171875,0.127
Web-Extension,firefox-nativedark,180,0.5928853754940712,0.0,0.39370078740157477,0.253
Web-Extension,firefox-nativedark,270,0.5928853754940712,0.0,0.2365930599369085,0.253
Web-Extension,firefox-nativedark,360,0.5928853754940712,0.0,0.16910935738444194,0.253
Web-Extension,firefox-nativedark,450,0.5928853754940712,0.0,0.13157894736842105,0.253
