Category,Project Names,Projects,Snapshots,TDR_Bugs,TDR_Smells,Overral_debts,KLOC
Quantum-Chemistry,QCElemental,P1,0,0.0,0.0,0.0,0.001
Quantum-Chemistry,QCElemental,P1,90,0.13786764705882354,5.163143382352942,5.3004020677771395,8.704
Quantum-Chemistry,QCElemental,P1,180,0.12071220199175134,4.931093451363042,2.6933390539525903,9.941
Quantum-Chemistry,QCElemental,P1,270,0.09835259404966806,5.554462748955003,2.2358738288974616,12.201
Quantum-Chemistry,QCElemental,P1,360,0.022558087074216106,5.384615384615385,1.628913151814434,13.299
Quantum-Chemistry,QCElemental,P1,450,0.019712201852946972,4.91425192193968,1.2648867177629917,15.219
Quantum-Chemistry,QCElemental,P1,540,0.0054019014693171994,5.671996542783059,2.7441014438516635,55.536
Quantum-Chemistry,QCElemental,P1,630,0.005381165919282511,5.663677130044843,1.8520254789013835,55.75
Quantum-Chemistry,QCEngine,P2,0,0.0,0.0,0.0,0.001
Quantum-Chemistry,QCEngine,P2,90,0.6131178707224335,3.550380228136882,4.1615201900237535,2.104
Quantum-Chemistry,QCEngine,P2,180,0.6490696668109044,3.5179575941151016,2.1807065217391304,2.311
Quantum-Chemistry,QCEngine,P2,270,0.22539444027047334,3.6175807663410966,1.4453235377225204,2.662
Quantum-Chemistry,QCEngine,P2,360,0.24855012427506212,4.821872410936205,2.056106164958844,4.828
Quantum-Chemistry,QCEngine,P2,450,0.166276635053578,5.727306318512132,2.3895131086142323,8.119
Quantum-Chemistry,QCEngine,P2,540,0.10878574388727726,6.437007874015748,2.1289213869326415,9.652
Quantum-Chemistry,QCEngine,P2,630,0.13193667039820886,5.845993922917,1.7722779318682882,12.506
Quantum-Chemistry,QCEngine,P2,720,0.1322392513223925,5.7534246575342465,1.5245305556043494,14.746
Quantum-Chemistry,QCEngine,P2,810,0.061561913696060046,5.792096622889306,1.3494627289315402,17.056
Quantum-Chemistry,basis_set_exchange,P3,0,2.8301886792452833,13.867924528301888,16.69811320754717,0.212
Quantum-Chemistry,basis_set_exchange,P3,90,0.23242710240878997,4.952810254965488,5.034878949528108,7.099
Quantum-Chemistry,basis_set_exchange,P3,180,0.062146112415412236,0.8037563872393315,0.43086860912589336,7.241
Quantum-Chemistry,basis_set_exchange,P3,270,0.0142966069386199,1.4010674799847505,0.5929563967417346,10.492
Quantum-Chemistry,basis_set_exchange,P3,360,0.026443367122080213,1.8880564125165271,0.5968836736376377,11.345
Quantum-Chemistry,basis_set_exchange,P3,450,0.07141156867412521,2.1399666746012853,0.5688683866753756,12.603
Quantum-Chemistry,basis_set_exchange,P3,540,0.04611128189363664,2.566092837380879,0.5481904393264951,13.012
Quantum-Chemistry,basis_set_exchange,P3,630,0.045221585770274346,2.6251130539644256,0.47069295355510676,13.268
Quantum-Chemistry,basis_set_exchange,P3,720,0.04417936823503424,2.577866136514248,0.40077431262872387,13.581
Quantum-Chemistry,basis_set_exchange,P3,810,0.09633292659430993,2.0191381414167364,0.3154447253504941,15.571
Quantum-Chemistry,basis_set_exchange,P3,900,0.09632674030310814,2.0190084767531467,0.27450915030501016,15.572
Quantum-Chemistry,CheMPS2,P4,0,0.0,0.0,0.0,0.001
Quantum-Chemistry,CheMPS2,P4,90,0.0,16.024680475980606,16.021150033046926,4.538
Quantum-Chemistry,CheMPS2,P4,180,0.0,0.0,0.0,4.538
Quantum-Chemistry,CheMPS2,P4,270,0.0,0.0,0.0,4.538
Quantum-Chemistry,CheMPS2,P4,360,0.0,0.0,0.0,4.538
Quantum-Chemistry,CheMPS2,P4,450,0.0,1.272420341844271,0.2634107985322383,4.739
Quantum-Chemistry,CheMPS2,P4,540,0.0,3.5781336278299283,0.6863195057369814,5.433
Quantum-Chemistry,CheMPS2,P4,630,0.0,3.488628026412326,0.5631050714983569,5.452
Quantum-Chemistry,CheMPS2,P4,720,0.0,2.125799906352427,0.3389408719888513,6.407
Quantum-Chemistry,CheMPS2,P4,810,0.0,2.155581947743468,0.309462915601023,6.736
Quantum-Chemistry,CheMPS2,P4,900,0.0,2.140002959893444,0.26938912383329916,6.757
