Category,ProjectId,snapshot,CLOC,addedLOC,removedLOC
Simulator,P9,4,24559,10639,13920
Simulator,P9,5,11351,6717,4634
Simulator,P9,6,28244,12822,15422
Simulator,P9,7,43640,32848,10792
Simulator,P9,8,28385,18455,9930
Simulator,P9,9,77810,39242,38568
Quantum-Chemistry,P0,0,415551,324326,91225
Quantum-Chemistry,P0,1,19941,13345,6596
Quantum-Chemistry,P0,2,29247,14135,15112
Quantum-Chemistry,P0,3,23598,14160,9438
Quantum-Chemistry,P0,4,29721,22357,7364
Quantum-Chemistry,P0,5,17445,13952,3493
Quantum-Chemistry,P0,6,28693,21186,7507
Quantum-Chemistry,P0,7,57571,45829,11742
Quantum-Chemistry,P0,8,57840,41275,16565
Quantum-Chemistry,P0,9,181443,152793,28650
Quantum-Chemistry,P1,0,176200,156927,19273
Quantum-Chemistry,P1,1,270708,124417,146291
Quantum-Chemistry,P1,2,71489,47579,23910
Quantum-Chemistry,P1,3,34998,24082,10916
Quantum-Chemistry,P1,4,26060,18421,7639
Quantum-Chemistry,P1,5,124170,108679,15491
Quantum-Chemistry,P1,6,40381,28750,11631
Quantum-Chemistry,P1,7,37902,24653,13249
Quantum-Chemistry,P1,8,56091,41924,14167
Quantum-Chemistry,P1,9,48414,40288,8126
Quantum-Chemistry,P2,0,842460,430540,411920
Quantum-Chemistry,P2,1,927842,753970,173872
Quantum-Chemistry,P2,2,100190,68924,31266
Quantum-Chemistry,P2,3,1154212,717719,436493
Quantum-Chemistry,P2,4,8461566,4985091,3476475
Quantum-Chemistry,P2,5,2064807,1886986,177821
Quantum-Chemistry,P2,6,956095,849703,106392
Quantum-Chemistry,P2,7,1213095,1184957,28138
Quantum-Chemistry,P2,8,469890,460038,9852
Quantum-Chemistry,P2,9,2189327,2138382,50945
Quantum-Chemistry,P3,0,71480,53408,18072
Quantum-Chemistry,P3,1,9258,6113,3145
Quantum-Chemistry,P3,2,7738,6040,1698
Quantum-Chemistry,P3,3,8656,5269,3387
Quantum-Chemistry,P3,4,15527,8847,6680
Quantum-Chemistry,P3,5,312829,265652,47177
Quantum-Chemistry,P3,6,469,370,99
Quantum-Chemistry,P3,7,184,178,6
Quantum-Chemistry,P3,8,0,0,0
Quantum-Chemistry,P3,9,5,3,2
Quantum-Chemistry,P4,0,4485,4058,427
Quantum-Chemistry,P4,1,1806,1224,582
Quantum-Chemistry,P4,2,1584,1255,329
Quantum-Chemistry,P4,3,14134,9209,4925
Quantum-Chemistry,P4,4,7923,5061,2862
Quantum-Chemistry,P4,5,7363,5374,1989
Quantum-Chemistry,P4,6,17715,11024,6691
Quantum-Chemistry,P4,7,7894,5707,2187
Quantum-Chemistry,P4,8,4656,3890,766
Quantum-Chemistry,P4,9,64,64,0
Quantum-Chemistry,P5,0,181466,128345,53121
Quantum-Chemistry,P5,1,3393,2258,1135
Quantum-Chemistry,P5,2,2385,1057,1328
Quantum-Chemistry,P5,3,86026,8841,77185
Quantum-Chemistry,P5,4,13509,8936,4573
Quantum-Chemistry,P5,5,17368,11952,5416
Quantum-Chemistry,P5,6,30895,16509,14386
Quantum-Chemistry,P5,7,31480,22915,8565
Quantum-Chemistry,P5,8,25362,14173,11189
Quantum-Chemistry,P5,9,54376,40949,13427
Quantum-Chemistry,P6,0,132025,131696,329
Quantum-Chemistry,P6,1,5942,2513,3429
Quantum-Chemistry,P6,2,90848,88869,1979
Quantum-Chemistry,P6,3,37526,20963,16563
Quantum-Chemistry,P6,4,8969,6166,2803
Quantum-Chemistry,P6,5,220395,36163,184232
Quantum-Chemistry,P6,6,3882,2572,1310
Quantum-Chemistry,P6,7,25859,16490,9369
Quantum-Chemistry,P6,8,44454,24937,19517
Quantum-Chemistry,P6,9,30041,16206,13835
Quantum-Chemistry,P7,0,123455,109587,13868
Quantum-Chemistry,P7,1,452752,443638,9114
Quantum-Chemistry,P7,2,42202,29129,13073
Quantum-Chemistry,P7,3,150149,148353,1796
Quantum-Chemistry,P7,4,543187,535592,7595
Quantum-Chemistry,P7,5,146578,144253,2325
Quantum-Chemistry,P7,6,683406,671433,11973
Quantum-Chemistry,P7,7,3726,3689,37
Quantum-Chemistry,P7,8,112584,104263,8321
Quantum-Chemistry,P7,9,14688,12679,2009
Quantum-Chemistry,P8,0,12873,8154,4719
Quantum-Chemistry,P8,1,21434,17010,4424
Quantum-Chemistry,P8,2,12711,9487,3224
Quantum-Chemistry,P8,3,6578,4402,2176
Quantum-Chemistry,P8,4,95131,92694,2437
Quantum-Chemistry,P8,5,268716,103352,165364
Quantum-Chemistry,P8,6,5046,3880,1166
Quantum-Chemistry,P8,7,17380,12444,4936
Quantum-Chemistry,P8,8,868941,542063,326878
Quantum-Chemistry,P8,9,280780,259033,21747
Quantum-Chemistry,P9,0,149935,130316,19619
Quantum-Chemistry,P9,1,13943,9492,4451
Quantum-Chemistry,P9,2,156087,110479,45608
Quantum-Chemistry,P9,3,76883,54213,22670
Quantum-Chemistry,P9,4,254891,228869,26022
Quantum-Chemistry,P9,5,109124,45624,63500
Quantum-Chemistry,P9,6,52476,38820,13656
Quantum-Chemistry,P9,7,83117,66988,16129
Quantum-Chemistry,P9,8,86553,57627,28926
Quantum-Chemistry,P9,9,155229,87127,68102
Compiler,P0,0,68531,59687,8844
Compiler,P0,1,21324,13593,7731
Compiler,P0,2,24204,15367,8837
Compiler,P0,3,16302,9717,6585
Compiler,P0,4,50298,41303,8995
Compiler,P0,5,12,6,6
Compiler,P0,6,85,50,35
Compiler,P0,7,1023,550,473
Compiler,P0,8,22,12,10
Compiler,P0,9,502,274,228
Compiler,P1,0,128914,127845,1069
Compiler,P1,1,11932,7347,4585
Compiler,P1,2,118623,88492,30131
Compiler,P1,3,12617,8774,3843
Compiler,P1,4,25746,16691,9055
Compiler,P1,5,23356,16882,6474
Compiler,P1,6,55568,29484,26084
Compiler,P1,7,15567,10928,4639
Compiler,P1,8,680585,662719,17866
Compiler,P1,9,607072,102814,504258
Compiler,P2,0,838737,578940,259797
Compiler,P2,1,1779052,1241740,537312
Compiler,P2,2,437559,182631,254928
Compiler,P2,3,96893,66566,30327
Compiler,P2,4,219289,116948,102341
Compiler,P2,5,22835,17173,5662
Compiler,P2,6,1247468,1169471,77997
Compiler,P2,7,9059,8124,935
Compiler,P2,8,194,129,65
Compiler,P2,9,44,22,22
Quantum Annealing,P0,0,24569,18471,6098
Quantum Annealing,P0,1,50261,31211,19050
Quantum Annealing,P0,2,9196,7153,2043
Quantum Annealing,P0,3,6989,5193,1796
Quantum Annealing,P0,4,8,1,7
Quantum Annealing,P0,5,4,2,2
Quantum Annealing,P0,6,2,1,1
Quantum Annealing,P0,7,18,13,5
Quantum Annealing,P0,8,4,4,0
Quantum Annealing,P0,9,4,2,2
Quantum Annealing,P1,0,4697558,4693315,4243
Quantum Annealing,P1,1,209970,206867,3103
Quantum Annealing,P1,2,16879,9546,7333
Quantum Annealing,P1,3,19379,10190,9189
Quantum Annealing,P1,4,735,515,220
Quantum Annealing,P1,5,4794,3176,1618
Quantum Annealing,P1,6,63,54,9
Quantum Annealing,P1,7,8,4,4
Quantum Annealing,P1,8,125,74,51
Quantum Annealing,P1,9,2,1,1
Quantum Annealing,P2,0,7082,5447,1635
Quantum Annealing,P2,1,10308,6761,3547
Quantum Annealing,P2,2,21338,12506,8832
Quantum Annealing,P2,3,5054,3455,1599
Quantum Annealing,P2,4,14182,9183,4999
Quantum Annealing,P2,5,7922,3943,3979
Quantum Annealing,P2,6,12979,9497,3482
Quantum Annealing,P2,7,2843,2164,679
Quantum Annealing,P2,8,2501,1880,621
Quantum Annealing,P2,9,1661,1227,434
Quantum Annealing,P3,0,4589,4588,1
Quantum Annealing,P3,1,328,248,80
Quantum Annealing,P3,2,4,2,2
Quantum Annealing,P3,3,1830,1495,335
Quantum Annealing,P3,4,10793,6694,4099
Quantum Annealing,P3,5,3063,2117,946
Quantum Annealing,P3,6,1480,1118,362
Quantum Annealing,P3,7,10119,5019,5100
Quantum Annealing,P3,8,2602,1725,877
Quantum Annealing,P3,9,4473,2416,2057
Quantum Annealing,P4,0,2339,2008,331
Quantum Annealing,P4,1,7685,5301,2384
Quantum Annealing,P4,2,1292,1139,153
Quantum Annealing,P4,3,108,66,42
Quantum Annealing,P4,4,148,92,56
Quantum Annealing,P4,5,3,2,1
Quantum Annealing,P4,6,106,55,51
Quantum Annealing,P4,7,555,161,394
Quantum Annealing,P4,8,0,0,0
Quantum Annealing,P5,0,18201,12562,5639
Quantum Annealing,P5,1,4023,1290,2733
Quantum Annealing,P5,2,2670,1845,825
Quantum Annealing,P5,3,130,103,27
Quantum Annealing,P5,4,3037,1798,1239
Quantum Annealing,P5,5,477,369,108
Quantum Annealing,P5,6,320,318,2
Quantum Annealing,P5,7,88,66,22
Quantum Annealing,P5,8,601,348,253
Quantum Annealing,P5,9,6,3,3
Experimentation,P0,0,8919,6871,2048
Experimentation,P0,1,21981,14379,7602
Experimentation,P0,2,14125,9658,4467
Experimentation,P0,3,22084,14945,7139
Experimentation,P0,4,40849,26226,14623
Experimentation,P0,5,17414,12161,5253
Experimentation,P0,6,22221,12703,9518
Experimentation,P0,7,25931,16975,8956
Experimentation,P0,8,6009,3991,2018
Experimentation,P0,9,30361,20513,9848
Experimentation,P1,0,3748,2634,1114
Experimentation,P1,1,1385,915,470
Experimentation,P1,2,10,5,5
Experimentation,P1,3,2,1,1
Experimentation,P2,0,2227,1548,679
Experimentation,P2,1,1203,892,311
Experimentation,P2,2,118,60,58
Experimentation,P2,3,47,42,5
Experimentation,P2,4,16,13,3
Experimentation,P2,5,23,9,14
Experimentation,P2,6,4,3,1
Experimentation,P2,7,5108,3347,1761
Experimentation,P2,8,6301,4450,1851
Experimentation,P2,9,2673,1049,1624
Experimentation,P3,0,210,210,0
Experimentation,P3,1,18819,13201,5618
Experimentation,P3,2,11703,6550,5153
Experimentation,P3,3,3283,2918,365
Experimentation,P3,4,21720,19090,2630
Experimentation,P3,5,4415,3722,693
Experimentation,P3,6,6137,4090,2047
Experimentation,P3,7,11550,7048,4502
Experimentation,P3,8,10851,6438,4413
Experimentation,P3,9,27753,18672,9081
Experimentation,P4,0,5594,4154,1440
Experimentation,P4,1,3477,2126,1351
Experimentation,P4,2,788,565,223
Experimentation,P4,3,784,524,260
Experimentation,P4,4,1821,1255,566
Experimentation,P4,5,997,583,414
Experimentation,P4,6,481,286,195
Experimentation,P4,7,1160,755,405
Experimentation,P4,8,2838,1492,1346
Experimentation,P4,9,2652,626,2026
Experimentation,P5,0,166111,108833,57278
Experimentation,P5,1,593667,578589,15078
Experimentation,P5,2,663497,66005,597492
Experimentation,P5,3,142211,66286,75925
Experimentation,P5,4,31242,17908,13334
Experimentation,P5,5,40419,25798,14621
Experimentation,P5,6,33,24,9
Experimentation,P5,7,170,91,79
Experimentation,P5,8,7,7,0
Experimentation,P5,9,36,36,0
Experimentation,P6,0,5076,4483,593
Experimentation,P6,1,110,85,25
Experimentation,P6,2,1281,1016,265
Experimentation,P6,3,2479,1917,562
Experimentation,P6,4,5111,3561,1550
Experimentation,P6,5,32613,21158,11455
Experimentation,P6,6,862,648,214
Experimentation,P6,7,169,165,4
Experimentation,P6,8,13,11,2
Experimentation,P6,9,2,1,1
Experimentation,P7,0,54247,53683,564
Experimentation,P7,1,15064,12851,2213
Experimentation,P7,2,8874,7388,1486
Experimentation,P7,3,24155,11761,12394
Experimentation,P7,4,41154,25866,15288
Experimentation,P7,5,44658,21281,23377
Experimentation,P7,6,38232,16009,22223
Experimentation,P7,7,60310,30505,29805
Experimentation,P7,8,33064,16194,16870
Experimentation,P7,9,34855,14997,19858
Experimentation,P8,0,2226,1860,366
Experimentation,P8,1,3842,2440,1402
Experimentation,P8,2,514,370,144
Experimentation,P8,3,7305,4892,2413
Experimentation,P8,4,11207,6316,4891
Experimentation,P8,5,768,530,238
Experimentation,P8,6,1458,984,474
Experimentation,P8,7,3456,1902,1554
Experimentation,P8,8,2217,1524,693
Experimentation,P8,9,1444,884,560
Quantum Algorithsm,P0,0,15015,13695,1320
Quantum Algorithsm,P0,1,29687,16137,13550
Quantum Algorithsm,P0,2,26007,15599,10408
Quantum Algorithsm,P0,3,51335,45759,5576
Quantum Algorithsm,P0,4,52,41,11
Quantum Algorithsm,P0,5,898,892,6
Quantum Algorithsm,P0,6,3011,2673,338
Quantum Algorithsm,P0,7,457,380,77
Quantum Algorithsm,P0,8,46705,9401,37304
Quantum Algorithsm,P0,9,1709,922,787
Quantum Algorithsm,P1,0,144826,98620,46206
Quantum Algorithsm,P1,1,1943797,944938,998859
Quantum Algorithsm,P1,2,359214,178274,180940
Quantum Algorithsm,P1,3,53700,30051,23649
Quantum Algorithsm,P1,4,47221,26743,20478
Quantum Algorithsm,P1,5,85654,47396,38258
Quantum Algorithsm,P1,6,44963,20757,24206
Quantum Algorithsm,P1,7,38951,30124,8827
Quantum Algorithsm,P1,8,16400,8522,7878
Quantum Algorithsm,P1,9,224,175,49
Quantum Algorithsm,P2,0,163264,92855,70409
Quantum Algorithsm,P2,1,15470,10993,4477
Quantum Algorithsm,P2,2,16942,12446,4496
Quantum Algorithsm,P2,3,7612,5599,2013
Quantum Algorithsm,P2,4,1119,901,218
Quantum Algorithsm,P2,5,989,926,63
Quantum Algorithsm,P2,6,1641,1508,133
Quantum Algorithsm,P2,7,479,453,26
Quantum Algorithsm,P2,8,958,921,37
Quantum Algorithsm,P2,9,8324,6663,1661
Quantum Algorithsm,P3,0,11357,7793,3564
Quantum Algorithsm,P3,1,2444,1484,960
Quantum Algorithsm,P3,2,4348,3408,940
Quantum Algorithsm,P3,3,24254,15054,9200
Quantum Algorithsm,P3,4,987,846,141
Quantum Algorithsm,P3,5,1593,1192,401
Quantum Algorithsm,P3,6,154,87,67
Quantum Algorithsm,P3,7,190,105,85
Quantum Algorithsm,P3,8,716,378,338
Quantum Algorithsm,P3,9,663,352,311
Quantum Algorithsm,P4,0,538738,477902,60836
Quantum Algorithsm,P4,1,226260,16218,210042
Quantum Algorithsm,P4,2,2261953,1144081,1117872
Quantum Algorithsm,P4,3,19580,12810,6770
Quantum Algorithsm,P4,4,65416,24540,40876
Quantum Algorithsm,P4,5,32762,15503,17259
Quantum Algorithsm,P4,6,16478,7601,8877
Quantum Algorithsm,P4,7,7573,4601,2972
Quantum Algorithsm,P4,8,45,29,16
Quantum Algorithsm,P4,9,0,0,0
Quantum Algorithsm,P5,0,20503,17151,3352
Quantum Algorithsm,P5,1,35209,34121,1088
Quantum Algorithsm,P5,2,120818,84976,35842
Quantum Algorithsm,P5,3,1250910,925462,325448
Quantum Algorithsm,P5,4,715340,49182,666158
Quantum Algorithsm,P5,5,8202,4780,3422
Quantum Algorithsm,P5,6,3132,1634,1498
Quantum Algorithsm,P5,7,2,1,1
Quantum Algorithsm,P5,8,3306,1778,1528
Quantum Algorithsm,P6,0,31446,24370,7076
Quantum Algorithsm,P6,1,27933,18361,9572
Quantum Algorithsm,P6,2,1274,828,446
Quantum Algorithsm,P6,3,8953,6087,2866
Quantum Algorithsm,P6,4,6190,3887,2303
Quantum Algorithsm,P6,5,2695,1714,981
Quantum Algorithsm,P6,6,2,1,1
Quantum Algorithsm,P6,7,13,8,5
Quantum Algorithsm,P6,8,0,0,0
Quantum Algorithsm,P6,9,124,62,62
Quantum Algorithsm,P7,0,20175,15515,4660
Quantum Algorithsm,P7,1,245,214,31
Quantum Algorithsm,P7,2,7790,5870,1920
Quantum Algorithsm,P7,3,38909,29711,9198
Quantum Algorithsm,P7,4,2262,1611,651
Quantum Algorithsm,P7,5,22501,12985,9516
Quantum Algorithsm,P7,6,31435,9888,21547
Quantum Algorithsm,P7,7,3542,2285,1257
Quantum Algorithsm,P7,8,2535,553,1982
Quantum Algorithsm,P7,9,2796,1614,1182
Quantum Algorithsm,P8,0,36142,20115,16027
Quantum Algorithsm,P8,1,5559,3171,2388
Quantum Algorithsm,P8,2,527,352,175
Quantum Algorithsm,P8,3,3241,2506,735
Quantum Algorithsm,P8,4,1629,1316,313
Quantum Algorithsm,P8,5,401,223,178
Quantum Algorithsm,P8,6,944,921,23
Quantum Algorithsm,P8,7,139,85,54
Quantum Algorithsm,P8,8,6,2,4
Quantum Algorithsm,P8,9,91,41,50
Quantum Algorithsm,P9,0,4343,2721,1622
Quantum Algorithsm,P9,1,1374,652,722
Quantum Algorithsm,P9,2,29,14,15
Quantum Algorithsm,P9,3,3,3,0
Quantum Algorithsm,P9,4,604,123,481
Quantum Algorithsm,P9,5,350,243,107
Quantum Algorithsm,P9,6,445,238,207
Quantum Algorithsm,P9,7,12,9,3
Quantum Algorithsm,P9,8,0,0,0
Quantum Algorithsm,P9,9,68,23,45
Full-stack Library,P0,0,34258,29129,5129
Full-stack Library,P0,1,3932,3672,260
Full-stack Library,P0,2,4204,3701,503
Full-stack Library,P0,3,2257978,2238084,19894
Full-stack Library,P0,4,10697,6621,4076
Full-stack Library,P0,5,10319,5906,4413
Full-stack Library,P0,6,15372,9524,5848
Full-stack Library,P0,7,3622,2824,798
Full-stack Library,P0,8,6263,4098,2165
Full-stack Library,P0,9,8559,3892,4667
Full-stack Library,P1,0,34258,29129,5129
Full-stack Library,P1,1,3932,3672,260
Full-stack Library,P1,2,4204,3701,503
Full-stack Library,P1,3,43506,18693,24813
Full-stack Library,P1,4,3823,2469,1354
Full-stack Library,P1,5,33450,23204,10246
Full-stack Library,P1,6,6376,3732,2644
Full-stack Library,P1,7,19217,12131,7086
Full-stack Library,P1,8,2157,1505,652
Full-stack Library,P1,9,9843,7731,2112
Full-stack Library,P2,0,1343,1176,167
Full-stack Library,P2,1,1794,1570,224
Full-stack Library,P2,2,336,181,155
Full-stack Library,P2,3,466,278,188
Full-stack Library,P2,4,557,258,299
Full-stack Library,P2,5,730,439,291
Full-stack Library,P2,6,3310,3193,117
Full-stack Library,P2,7,3,3,0
Full-stack Library,P2,8,36,23,13
Full-stack Library,P2,9,0,0,0
Full-stack Library,P3,0,10855,9902,953
Full-stack Library,P3,1,5904,3617,2287
Full-stack Library,P3,2,2525,1522,1003
Full-stack Library,P3,3,30781,21227,9554
Full-stack Library,P3,4,12959,8885,4074
Full-stack Library,P3,5,14097,6509,7588
Full-stack Library,P3,6,16447,10882,5565
Full-stack Library,P3,7,16897,11280,5617
Full-stack Library,P3,8,11454,8864,2590
Full-stack Library,P3,9,5079,2962,2117
Full-stack Library,P4,0,118070,84949,33121
Full-stack Library,P4,1,266966,128860,138106
Full-stack Library,P4,2,21239,13295,7944
Full-stack Library,P4,3,78362,65326,13036
Full-stack Library,P4,4,44803,29018,15785
Full-stack Library,P4,5,86041,58830,27211
Full-stack Library,P4,6,165171,82981,82190
Full-stack Library,P4,7,111982,29585,82397
Full-stack Library,P4,8,86154,55694,30460
Full-stack Library,P4,9,36505,25327,11178
Full-stack Library,P5,0,34843,29391,5452
Full-stack Library,P5,1,8289,5728,2561
Full-stack Library,P5,2,29612,8273,21339
Full-stack Library,P5,3,6044,4016,2028
Full-stack Library,P5,4,30835,29485,1350
Full-stack Library,P5,5,35542,5269,30273
Full-stack Library,P5,6,2732,2283,449
Full-stack Library,P5,7,67,63,4
Full-stack Library,P5,8,76,76,0
Full-stack Library,P5,9,24,23,1
Full-stack Library,P6,0,12709,9517,3192
Full-stack Library,P6,1,11009,8160,2849
Full-stack Library,P6,2,6314,2806,3508
Full-stack Library,P6,3,11133,7140,3993
Full-stack Library,P6,4,14997,11960,3037
Full-stack Library,P6,5,7223,4012,3211
Full-stack Library,P6,6,18,1,17
Full-stack Library,P6,7,11,9,2
Full-stack Library,P6,8,76,41,35
Full-stack Library,P6,9,53,46,7
Full-stack Library,P7,0,226865,222362,4503
Full-stack Library,P7,1,28655,14040,14615
Full-stack Library,P7,2,13309,3472,9837
Full-stack Library,P7,3,592796,195524,397272
Full-stack Library,P7,4,11461,11229,232
Full-stack Library,P7,5,5738,2572,3166
Full-stack Library,P7,6,32756,19347,13409
Full-stack Library,P7,7,139,139,0
Full-stack Library,P7,8,0,0,0
Full-stack Library,P7,9,11,3,8
Full-stack Library,P8,0,227198,137071,90127
Full-stack Library,P8,1,114676,64381,50295
Full-stack Library,P8,2,19932,8106,11826
Full-stack Library,P8,3,32751,17425,15326
Full-stack Library,P8,4,2,2,0
Full-stack Library,P8,5,0,0,0
Full-stack Library,P8,6,11,8,3
Full-stack Library,P8,7,133,88,45
Full-stack Library,P8,8,4,4,0
Full-stack Library,P8,9,1721,985,736
Full-stack Library,P9,0,8307,6206,2101
Full-stack Library,P9,1,2750,2471,279
Full-stack Library,P9,2,2973,2579,394
Full-stack Library,P9,3,274,171,103
Full-stack Library,P9,4,1718,984,734
Full-stack Library,P9,5,720,528,192
Full-stack Library,P9,6,10,6,4
Full-stack Library,P9,7,2,1,1
Full-stack Library,P9,8,2,1,1
Assembly,P0,0,5268,3576,1692
Assembly,P0,1,3757,2638,1119
Assembly,P0,2,1987,1333,654
Assembly,P0,3,2083,1375,708
Assembly,P0,4,542,347,195
Assembly,P0,5,539,507,32
Assembly,P0,6,1382,927,455
Assembly,P0,7,304,242,62
Assembly,P0,8,1389,907,482
Assembly,P0,9,1146,791,355
Assembly,P1,0,41173,31574,9599
Assembly,P1,1,14438,9548,4890
Assembly,P1,2,470,306,164
Assembly,P1,3,1238,635,603
Assembly,P1,4,4388,2532,1856
Assembly,P1,5,505,237,268
Assembly,P2,0,10496,8064,2432
Assembly,P2,1,22622,17573,5049
Assembly,P2,2,16706,10659,6047
Assembly,P2,3,17469,10858,6611
Assembly,P2,4,774,88,686
Assembly,P2,5,9891,4115,5776
Assembly,P2,6,18,9,9
Assembly,P2,7,277,140,137
Assembly,P2,8,826,562,264
Assembly,P2,9,4474,2265,2209
Assembly,P3,0,19866,13592,6274
Assembly,P3,1,7985,2132,5853
Assembly,P3,2,12881,10594,2287
Assembly,P3,3,19280,17327,1953
Assembly,P3,4,10267,7277,2990
Assembly,P3,5,21243,11822,9421
Assembly,P3,6,4700,3243,1457
Assembly,P3,7,7826,5267,2559
Assembly,P3,8,24975,18483,6492
Assembly,P3,9,295938,189703,106235
Assembly,P4,0,3322,2684,638
Assembly,P4,1,782,571,211
Assembly,P4,2,176,89,87
Assembly,P4,3,134,112,22
Assembly,P4,4,2,2,0
Assembly,P4,5,4,2,2
Assembly,P4,6,8,4,4
Assembly,P4,7,22,21,1
Assembly,P4,8,11,6,5
Assembly,P4,9,95,39,56
ToolKit,P0,0,41307,35398,5909
ToolKit,P0,1,206,187,19
ToolKit,P0,2,212,121,91
ToolKit,P0,3,7909,6139,1770
ToolKit,P0,4,9549,7389,2160
ToolKit,P0,5,20444,12848,7596
ToolKit,P0,6,1615,1071,544
ToolKit,P0,7,14436,3091,11345
ToolKit,P0,8,1810,1658,152
ToolKit,P0,9,3919,2543,1376
ToolKit,P1,0,8817,5906,2911
ToolKit,P1,1,1008,490,518
ToolKit,P1,2,497,391,106
ToolKit,P1,3,6518,5133,1385
ToolKit,P1,4,2579,2190,389
ToolKit,P1,5,8258,5122,3136
ToolKit,P1,6,348,264,84
ToolKit,P1,7,5385,3617,1768
ToolKit,P1,8,32437,15867,16570
