categories,repos,repo_id,interval,commits,cloc
Assembly,BBN-Q/QGL.jl,4,120,93,4432
Assembly,BBN-Q/QGL.jl,4,90,90,4266
Assembly,BBN-Q/QGL.jl,4,60,85,4094
Assembly,BBN-Q/QGL.jl,4,30,62,2971
Simulator,arguelles/nuSQuIDS,0,30,297,829050
Simulator,arguelles/nuSQuIDS,0,60,330,837741
Simulator,arguelles/nuSQuIDS,0,90,337,838090
Simulator,arguelles/nuSQuIDS,0,120,340,838113
Simulator,arguelles/nuSQuIDS,0,150,343,842099
Simulator,arguelles/nuSQuIDS,0,180,345,842109
Simulator,softwareQinc/qpp,1,30,1289,1189168
Simulator,softwareQinc/qpp,1,60,1314,1202168
Simulator,softwareQinc/qpp,1,90,1321,1203691
Simulator,softwareQinc/qpp,1,120,1322,1203769
Simulator,softwareQinc/qpp,1,150,1323,1203777
Simulator,softwareQinc/qpp,1,180,1323,1203777
Simulator,QuantumBFS/YaoBlocks.jl,2,30,153,6305
Simulator,QuantumBFS/YaoBlocks.jl,2,60,158,6499
Simulator,QuantumBFS/YaoBlocks.jl,2,90,160,6554
