categories,repos,repo_id,interval,commits,cloc
Quantum Algorithsm,PanPalitta/phase_estimation,11,30,90,14533
Quantum Algorithsm,PanPalitta/phase_estimation,11,60,114,17727
Quantum Algorithsm,PanPalitta/phase_estimation,11,90,122,17873
Quantum Algorithsm,PanPalitta/phase_estimation,11,120,124,17941
Quantum Algorithsm,PanPalitta/phase_estimation,11,150,128,18035
Quantum Algorithsm,PanPalitta/phase_estimation,11,180,129,18042
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,180,95,14631
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,150,94,14515
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,120,92,13810
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,90,89,13677
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,60,83,12698
Quantum Algorithsm,ProjectQ-Framework/FermiLib,12,30,64,9014
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,30,136,42596
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,60,155,45392
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,90,163,48407
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,120,166,48409
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,150,169,48466
Quantum Algorithsm,JoshuaSBrown/QC_Tools,13,180,170,48466
Quantum Annealing,shinmorino/sqaod,0,180,500,60352
Quantum Annealing,shinmorino/sqaod,0,150,498,60343
Quantum Annealing,shinmorino/sqaod,0,120,497,60339
Quantum Annealing,shinmorino/sqaod,0,90,496,60321
Quantum Annealing,shinmorino/sqaod,0,60,493,60307
Quantum Annealing,shinmorino/sqaod,0,30,484,59445
Quantum Annealing,dwavesystems/qbsolv,1,30,149,4724532
Quantum Annealing,dwavesystems/qbsolv,1,60,185,4726370
Quantum Annealing,dwavesystems/qbsolv,1,90,191,4726446
Quantum Annealing,dwavesystems/qbsolv,1,120,193,4726453
Quantum Annealing,dwavesystems/qbsolv,1,150,194,4726463
Quantum Annealing,dwavesystems/qbsolv,1,180,194,4726463
Quantum Annealing,dwavesystems/dimod,2,30,757,112773
Quantum Annealing,dwavesystems/dimod,2,60,794,116054
Quantum Annealing,dwavesystems/dimod,2,90,798,116639
Quantum Annealing,dwavesystems/dimod,2,120,783,114025
Quantum Annealing,dwavesystems/dimod,2,150,797,116418
Quantum Annealing,dwavesystems/dimod,2,180,800,116665
Quantum Annealing,dwavesystems/dwave-system,3,60,421,30858
Quantum Annealing,dwavesystems/dwave-system,3,90,500,39171
Quantum Annealing,dwavesystems/dwave-system,3,120,500,39171
Quantum Annealing,dwavesystems/dwave-system,3,150,492,38942
Quantum Annealing,dwavesystems/dwave-system,3,180,500,39171
